,ipsi_rho,contra_rho,match_ratio,sim,method,n_side
385,0.8,0.2,0.2222222222222222,192,BGM,9
386,0.8,0.2,0.2222222222222222,193,GM,9
387,0.8,0.2,0.3333333333333333,193,BGM,9
388,0.8,0.2,0.3333333333333333,194,GM,9
389,0.8,0.2,0.5555555555555556,194,BGM,9
390,0.8,0.2,1.0,195,GM,9
391,0.8,0.2,0.2222222222222222,195,BGM,9
392,0.8,0.2,1.0,196,GM,9
393,0.8,0.2,1.0,196,BGM,9
394,0.8,0.2,0.5555555555555556,197,GM,9
395,0.8,0.2,1.0,197,BGM,9
396,0.8,0.2,1.0,198,GM,9
397,0.8,0.2,0.5555555555555556,198,BGM,9
398,0.8,0.2,0.2222222222222222,199,GM,9
399,0.8,0.2,0.7777777777777778,199,BGM,9
400,0.8,0.2,1.0,200,GM,9
401,0.8,0.2,0.7777777777777778,200,BGM,9
402,0.8,0.2,1.0,201,GM,9
403,0.8,0.2,1.0,201,BGM,9
404,0.8,0.2,0.7777777777777778,202,GM,9
405,0.8,0.2,0.1111111111111111,202,BGM,9
406,0.8,0.2,1.0,203,GM,9
407,0.8,0.2,0.5555555555555556,203,BGM,9
408,0.8,0.2,1.0,204,GM,9
409,0.8,0.2,1.0,204,BGM,9
410,0.8,0.2,1.0,205,GM,9
411,0.8,0.2,0.6666666666666666,205,BGM,9
412,0.8,0.2,0.5555555555555556,206,GM,9
413,0.8,0.2,0.7777777777777778,206,BGM,9
414,0.8,0.2,1.0,207,GM,9
415,0.8,0.2,1.0,207,BGM,9
416,0.8,0.2,1.0,208,GM,9
417,0.8,0.2,1.0,208,BGM,9
418,0.8,0.2,1.0,209,GM,9
419,0.8,0.2,1.0,209,BGM,9
420,0.8,0.2,0.2222222222222222,210,GM,9
421,0.8,0.2,1.0,210,BGM,9
422,0.8,0.2,1.0,211,GM,9
423,0.8,0.2,1.0,211,BGM,9
424,0.8,0.2,1.0,212,GM,9
425,0.8,0.2,0.6666666666666666,212,BGM,9
426,0.8,0.2,1.0,213,GM,9
427,0.8,0.2,1.0,213,BGM,9
428,0.8,0.2,1.0,214,GM,9
429,0.8,0.2,0.3333333333333333,214,BGM,9
430,0.8,0.2,1.0,215,GM,9
431,0.8,0.2,1.0,215,BGM,9
432,0.8,0.2,0.1111111111111111,216,GM,9
433,0.8,0.2,1.0,216,BGM,9
434,0.8,0.2,1.0,217,GM,9
435,0.8,0.2,1.0,217,BGM,9
436,0.8,0.2,0.1111111111111111,218,GM,9
437,0.8,0.2,1.0,218,BGM,9
438,0.8,0.2,0.1111111111111111,219,GM,9
439,0.8,0.2,0.4444444444444444,219,BGM,9
440,0.8,0.2,1.0,220,GM,9
441,0.8,0.2,1.0,220,BGM,9
442,0.8,0.2,1.0,221,GM,9
443,0.8,0.2,1.0,221,BGM,9
444,0.8,0.2,0.4444444444444444,222,GM,9
445,0.8,0.2,1.0,222,BGM,9
446,0.8,0.2,0.3333333333333333,223,GM,9
447,0.8,0.2,1.0,223,BGM,9
448,0.8,0.2,0.3333333333333333,224,GM,9
449,0.8,0.2,1.0,224,BGM,9
450,0.8,0.2,1.0,225,GM,9
451,0.8,0.2,1.0,225,BGM,9
452,0.8,0.2,1.0,226,GM,9
453,0.8,0.2,1.0,226,BGM,9
454,0.8,0.2,0.7777777777777778,227,GM,9
455,0.8,0.2,1.0,227,BGM,9
456,0.8,0.2,0.7777777777777778,228,GM,9
457,0.8,0.2,1.0,228,BGM,9
458,0.8,0.2,1.0,229,GM,9
459,0.8,0.2,1.0,229,BGM,9
460,0.8,0.2,0.7777777777777778,230,GM,9
461,0.8,0.2,0.1111111111111111,230,BGM,9
462,0.8,0.2,0.6666666666666666,231,GM,9
463,0.8,0.2,0.7777777777777778,231,BGM,9
464,0.8,0.2,0.5555555555555556,232,GM,9
465,0.8,0.2,0.3333333333333333,232,BGM,9
466,0.8,0.2,1.0,233,GM,9
467,0.8,0.2,1.0,233,BGM,9
468,0.8,0.2,1.0,234,GM,9
469,0.8,0.2,1.0,234,BGM,9
470,0.8,0.2,0.5555555555555556,235,GM,9
471,0.8,0.2,0.4444444444444444,235,BGM,9
472,0.8,0.2,0.5555555555555556,236,GM,9
473,0.8,0.2,0.7777777777777778,236,BGM,9
474,0.8,0.2,1.0,237,GM,9
475,0.8,0.2,1.0,237,BGM,9
476,0.8,0.2,1.0,238,GM,9
477,0.8,0.2,1.0,238,BGM,9
478,0.8,0.2,1.0,239,GM,9
479,0.8,0.2,0.6666666666666666,239,BGM,9
480,0.8,0.2,0.6666666666666666,240,GM,9
481,0.8,0.2,0.3333333333333333,240,BGM,9
482,0.8,0.2,0.7777777777777778,241,GM,9
483,0.8,0.2,0.5555555555555556,241,BGM,9
484,0.8,0.2,1.0,242,GM,9
485,0.8,0.2,0.7777777777777778,242,BGM,9
486,0.8,0.2,1.0,243,GM,9
487,0.8,0.2,1.0,243,BGM,9
488,0.8,0.2,0.2222222222222222,244,GM,9
489,0.8,0.2,1.0,244,BGM,9
490,0.8,0.2,0.6666666666666666,245,GM,9
491,0.8,0.2,0.2222222222222222,245,BGM,9
492,0.8,0.2,1.0,246,GM,9
493,0.8,0.2,0.3333333333333333,246,BGM,9
494,0.8,0.2,1.0,247,GM,9
495,0.8,0.2,1.0,247,BGM,9
496,0.8,0.2,1.0,248,GM,9
497,0.8,0.2,0.4444444444444444,248,BGM,9
498,0.8,0.2,1.0,249,GM,9
499,0.8,0.2,0.3333333333333333,249,BGM,9
500,0.8,0.2,1.0,250,GM,9
501,0.8,0.2,0.0,250,BGM,9
502,0.8,0.2,1.0,251,GM,9
503,0.8,0.2,1.0,251,BGM,9
504,0.8,0.2,0.3333333333333333,252,GM,9
505,0.8,0.2,1.0,252,BGM,9
506,0.8,0.2,1.0,253,GM,9
507,0.8,0.2,1.0,253,BGM,9
508,0.8,0.2,1.0,254,GM,9
509,0.8,0.2,1.0,254,BGM,9
510,0.8,0.2,0.7777777777777778,255,GM,9
511,0.8,0.2,0.2222222222222222,255,BGM,9
512,0.8,0.2,1.0,256,GM,9
513,0.8,0.2,1.0,256,BGM,9
514,0.8,0.2,0.3333333333333333,257,GM,9
515,0.8,0.2,0.7777777777777778,257,BGM,9
516,0.8,0.2,1.0,258,GM,9
517,0.8,0.2,0.1111111111111111,258,BGM,9
518,0.8,0.2,0.3333333333333333,259,GM,9
519,0.8,0.2,1.0,259,BGM,9
520,0.8,0.2,1.0,260,GM,9
521,0.8,0.2,0.3333333333333333,260,BGM,9
522,0.8,0.2,1.0,261,GM,9
523,0.8,0.2,0.1111111111111111,261,BGM,9
524,0.8,0.2,1.0,262,GM,9
525,0.8,0.2,1.0,262,BGM,9
526,0.8,0.2,0.3333333333333333,263,GM,9
527,0.8,0.2,1.0,263,BGM,9
528,0.8,0.2,1.0,264,GM,9
529,0.8,0.2,1.0,264,BGM,9
530,0.8,0.2,1.0,265,GM,9
531,0.8,0.2,1.0,265,BGM,9
532,0.8,0.2,0.6666666666666666,266,GM,9
